profile,user_id,user_name,tweet_text,retweet_text,like_text
https://twitter.com/2curlykitties,1013187241,@2curlykitties,It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼,Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼
https://twitter.com/2curlykitties,1013187241,@2curlykitties,"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",RT @CambridgeNewsUK: Man taken to hospital after suffering arm wrestling injury on Mill Road http://t.co/4vIAhxYS6g,Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼
https://twitter.com/2curlykitties,1013187241,@2curlykitties,Awake but tired. I need to sleep but my brain has other ideas...,@EONhelp you too! ☀️,"@the_candourist glad to see that you survived the brutality of the desert. Stay strong, be safe"
https://twitter.com/2curlykitties,1013187241,@2curlykitties,RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,"@EONhelp hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",I’ve just remembered that the new house has  range cooker. Whoop! Looking forward to road testing it 😊
https://twitter.com/2curlykitties,1013187241,@2curlykitties,It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,"@EONhelp re my last tweet, don't worry, spoke to v helpful young lady. All sorted. Thx!",Square 10 / lacy #crochet / pale blue DK yarn #crocheting #crochetblanket http://t.co/VRVVn6vqoH
https://twitter.com/2curlykitties,1013187241,@2curlykitties,Making packing lists is my new hobby... #movinghouse,"@EONhelp hi, I'm trying to find a number to phone for a new account but can't find it. Please can you advise. Thx.",9 squares made #crochet #crocheting http://t.co/mROMYKM0tA
https://twitter.com/2curlykitties,1013187241,@2curlykitties,At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,Fragile egos and umbrage taken in a blink. I need a break.,RT @CambridgeNewsUK: Have you had a look around Milton Country Park? We've found some of its prettiest spots http://t.co/wnbSmqq5hs http://…
https://twitter.com/2curlykitties,1013187241,@2curlykitties,Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,RT @DT_Kenilworth: Our dogs are desperate for treats!Ben and his friends would be so grateful for any donations. @DogsTrust http://t.co/QE0…,RT @twistedthread: Happy Sunday! #BorntoSew http://t.co/pmV7hEWAZW
https://twitter.com/2curlykitties,1013187241,@2curlykitties,"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",Two weeks off. I can't f'ing wait! I need to get away from work now.,"Deckchair in the sun, what's not to love? ☀️💕😎 #CatsOfTwitter http://t.co/VEGr1rwUag"
https://twitter.com/2curlykitties,1013187241,@2curlykitties,RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,RT @homemade: 15 things you didn't know you could do with Malteasers and they are all epic http://t.co/lmcWqeKIpp http://t.co/BDeyNVm5BD,Watching Pitch Perfect 2... Pat Benatar - We Belong https://t.co/WLLJ5EN5UY
https://twitter.com/2curlykitties,1013187241,@2curlykitties,"... also, I have too much stuff. Way, way too much #movinghouse",Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but #lifeischanging,"Natalie Imbruglia, where is she now...?"
